Total scraped entries: 140
-------------------------------------
 Views  +1  -1   |Speakers|                               Title

 65088 442 192 Jessica McKellar     (Hands-on intro to Python for beginning programmers)
 40764 399  81 David Beazley        (Discovering Python)
 26324 381 157 Ned Batchelder       (Getting Started Testing)
 50918 358  24 Richard Jones        (Introduction to game programming)
 17652 339 181 Julie Pagano         (It's Dangerous to Go Alone: Battling the Invisible Monsters in Tech)
 35409 309 200 Miguel Grinberg      (Flask by Example)
 34342 267  58 Alex Gaynor          (Fast Python, Slow Python)
 25710 247  56 Justin Abrahms       (Computer science fundamentals for self-taught programmers)
 30944 243 181 Guido Van Rossum     (Keynote - Guido Van Rossum)
 20576 223 116 Miguel Grinberg      (Writing RESTful web services with Flask)
 21709 213 196 Melanie Warrick      (How to Get Started with Machine Learning)
 39437 211 183 Kenneth Love         (Getting Started with Django, a crash course)
 13758 201 109 Kate Heddleston      (So you want to be a full-stack developer? How to build a full-stack python)
 26032 183 156 Katharine Jarmul     (Introduction to Web (and data!) Scraping with Python)
 13007 175 119 Brandon Rhodes       (All Your Ducks In A Row: Data Structures in the Standard Library and Beyond)
 23587 175  77 Jake Vanderplas      (Exploring Machine Learning with Scikit-learn)
 19199 170  94 Colton Myers         (Decorators: A Powerful Weapon in your Python Arsenal)
 22616 170 159 David Beazley        (Generators: The Final Frontier)
 11461 164 152 Brandon Rhodes       (The Day of the EXE Is Upon Us)
 31231 146 137 Michael Dehaan       (Ansible - Python-Powered Radically Simple IT Automation)
 17300 140 172 Julia Evans          (Diving into Open Data with IPython Notebook & Pandas)
 10330 113 130 Christophe Pettus    (PostgreSQL Proficiency for Python People)
 18675 106 182 Mike Bayer           (Introduction to SQLAlchemy)
  9395  94 126 Julie Lavoie         (Analyzing Rap Lyrics with Python)
 12451  94  66 Allen Downey         (Bayesian statistics made simple)
 10998  91  52 Ned Jackson Lovely   (Enough Machine Learning to Make Hacker News Readable Again)
 15138  89 128 Peter Baumgartner    (Getting Started with SaltStack)
  7356  71 138 Erik Rose            (Designing Poetic APIs)
  5711  71  39 A. Jesse Jiryu Davis (What Is Async, How Does It Work, And When Should I Use It?)
  6615  69 164 Amjith Ramanujam     (Introduction to Docker)
 14194  68 117 Fernando Pérez       (IPython in depth: high productivity interactive and parallel python)
  6263  67  89 Esther Nam           (Character encoding and Unicode in Python)
 10395  62 172 Fernando Pérez       (Keynote - Fernando Pérez)
  8027  54 146 Jessica McKellar     (Keynote: Python, the next generation - Jessica McKellar)
  4259  53 132 Dr. Greg Wilson      (Software Carpentry: Lessons Learned)
  5293  52  99 Guillaume Ardaud     (Cache me if you can: memcached, caching patterns and best practices)
  3741  49 186 Elena Williams       (Hitchhikers Guide to Participating in Open Source)
  3685  47  46 Luke Sneeringer      (Introduction to Regular Expressions)
  6328  46 142 Susan Tan            (Python in the Browser: Intro to Brython)
  4031  45 166 Dan Langer           (A Scenic Drive through the Django Request-Response Cycle)
  3177  45  90 Paul Tagliamonte     (Getting Hy on Python: How to implement a Lisp front-end to Python)
  4026  42 123 Ned Jackson Lovely   (Cheap Helicopters In My Living Room)
  3985  42 178 Nathan Yergler       (In Depth PDB)
  5692  41  99 Asheesh Laroia       (Python packaging simplified, for end users, app developers)
  5399  40  92 Hynek Schlawack      (The Sorry State of SSL)
  5094  38  63 Graham Dumpleton     (Advanced methods for creating decorators)
  5270  38  78 Matthew Russell      (Mining Social Web APIs with IPython Notebook)
  5010  37 118 David Wolever        (Django for Web Designers and Front End Developers)
  5638  36 181 James Bennett        (Django: The good parts)
  3022  36 154 Naomi Ceder          (Farewell and Welcome Home: Python in Two Genders)
  3619  34  42 Julien Phalip        (Advanced techniques for Web functional testing)
 10800  34 198 Mike Bayer           (Building the App)
  1670  34 107 Carl Meyer           (Set your code free: releasing and maintaining an open-source Python project)
  4311  34 132 Jessica McKellar     (Contribute with me! Getting started with open source development)
  4684  34  75 Harry Percival       (TDD for web applications, from scratch)
